Open,High,Low,Close,Adj Close,Volume,Price Change
1.214286,1.225,1.197143,1.21,1.21,11104800,-0.004286
1.213571,1.232143,1.157143,1.157143,1.157143,6609400,-0.0564279999999999
1.164286,1.164286,1.085714,1.103571,1.103571,6757800,-0.0607149999999998
1.107857,1.107857,1.071429,1.071429,1.071429,10154200,-0.0364280000000001
1.078571,1.078571,1.071429,1.076429,1.076429,8464400,-0.0021419999999998
1.08,1.149286,1.076429,1.128571,1.128571,3151400,0.0485709999999999
1.135714,1.14,1.110714,1.117857,1.117857,3105200,-0.0178569999999997
1.110714,1.159286,1.107143,1.147143,1.147143,1531600,0.036429
1.15,1.232143,1.148571,1.182143,1.182143,2305800,0.032143
1.177857,1.177857,1.103571,1.118571,1.118571,1369200,-0.0592859999999999
1.135,1.175,1.134286,1.156429,1.156429,484400,0.0214289999999999
1.156429,1.188571,1.128571,1.153571,1.153571,1003800,-0.002858
1.153571,1.182143,1.089286,1.092857,1.092857,1799000,-0.0607139999999999
1.104286,1.122143,1.08,1.082857,1.082857,2567600,-0.0214290000000001
1.082143,1.085714,0.98,0.986429,0.986429,4783800,-0.095714
1.013571,1.059286,0.917857,0.922143,0.922143,4855200,-0.0914279999999999
0.938571,0.939286,0.842143,0.910714,0.910714,10808000,-0.027857
0.911429,0.996429,0.892857,0.951429,0.951429,5482400,0.0399999999999999
0.971429,1.04,0.95,0.957143,0.957143,6111000,-0.014286
0.982143,0.989286,0.947857,0.979286,0.979286,2346400,-0.0028569999999999
0.979286,1.014286,0.957143,0.978571,0.978571,2567600,-0.000715
0.988571,1.007143,0.947143,0.964286,0.964286,3941000,-0.024285
0.963571,0.996429,0.921429,0.988571,0.988571,2924600,0.025
1.009286,1.018571,0.942857,0.943571,0.943571,3817800,-0.0657149999999998
0.960714,1.013571,0.960714,0.999286,0.999286,9234400,0.038572
1.0,1.046429,0.992857,1.027857,1.027857,4585000,0.027857
1.053571,1.195,1.039286,1.172857,1.172857,9020200,0.119286
1.178571,1.214286,1.117857,1.214286,1.214286,4957400,0.0357149999999999
1.214286,1.299286,1.213571,1.276429,1.276429,2003400,0.062143
1.252143,1.252143,1.167857,1.175714,1.175714,1953000,-0.076429
1.175,1.196429,1.114286,1.160714,1.160714,2935800,-0.014286
1.161429,1.178571,1.132143,1.163571,1.163571,1554000,0.0021419999999998
1.154286,1.278571,1.132857,1.269286,1.269286,2529800,0.1149999999999999
1.278571,1.28,1.207143,1.207857,1.207857,2837800,-0.0707139999999999
1.242857,1.248571,1.076429,1.142857,1.142857,4239200,-0.1
1.152857,1.157143,1.104286,1.126429,1.126429,1941800,-0.0264280000000001
1.145,1.163571,1.075714,1.089286,1.089286,1261400,-0.055714
1.117143,1.166429,1.110714,1.149286,1.149286,2899400,0.032143
1.152857,1.160714,1.122143,1.16,1.16,1792000,0.0071429999999998
1.135714,1.179286,1.115,1.170714,1.170714,1993600,0.0350000000000001
1.176429,1.213571,1.130714,1.146429,1.146429,1577800,-0.03
1.146429,1.159286,1.074286,1.114286,1.114286,3355800,-0.0321429999999998
1.125,1.127857,1.035,1.036429,1.036429,4755800,-0.0885709999999999
1.05,1.058571,0.85,0.871429,0.871429,7046200,-0.178571
0.896429,0.924286,0.85,0.876429,0.876429,3260600,-0.02
0.893571,0.942857,0.893571,0.914286,0.914286,3777200,0.020715
0.928571,0.96,0.905714,0.953571,0.953571,3333400,0.0249999999999999
0.95,0.96,0.877857,0.891429,0.891429,4529000,-0.0585709999999999
0.886429,0.887857,0.706429,0.777857,0.777857,6655600,-0.108572
0.778571,0.812857,0.760714,0.775,0.775,3808000,-0.0035709999999999
0.795714,0.803571,0.742857,0.760714,0.760714,3217200,-0.035
0.760714,0.793571,0.742857,0.793571,0.793571,2758000,0.032857
0.796429,0.803571,0.750714,0.796429,0.796429,2283400,0.0
0.798571,0.821429,0.778571,0.787143,0.787143,1500800,-0.0114279999999999
0.802857,0.807143,0.753571,0.757143,0.757143,2130800,-0.045714
0.767857,0.805,0.754286,0.772857,0.772857,1677200,0.005
0.775714,0.833571,0.771429,0.833571,0.833571,4047400,0.0578569999999999
0.837143,0.910714,0.832857,0.882857,0.882857,3263400,0.045714
0.892857,0.924286,0.857143,0.912857,0.912857,1828400,0.02
0.925,0.984286,0.917857,0.982143,0.982143,2074800,0.0571429999999999
0.985,0.993571,0.921429,0.946429,0.946429,2539600,-0.038571
0.952857,0.971429,0.918571,0.968571,0.968571,2779000,0.015714
0.973571,0.999286,0.929286,0.983571,0.983571,2963800,0.01
0.993571,0.996429,0.967857,0.993571,0.993571,2406600,0.0
0.996429,0.996429,0.937857,0.967857,0.967857,2644600,-0.028572
0.967857,0.967857,0.857857,0.873571,0.873571,4984000,-0.0942859999999999
0.861429,0.89,0.825,0.864286,0.864286,2275000,0.0028569999999999
0.832857,0.922143,0.824286,0.903571,0.903571,2395400,0.070714
0.914286,0.962857,0.894286,0.936429,0.936429,2121000,0.0221429999999999
0.936429,0.963571,0.913571,0.925,0.925,1593200,-0.0114289999999999
0.925714,0.945714,0.907857,0.928571,0.928571,373800,0.0028569999999999
